time	intensity	phase	power	power	bootstrap	bootstrap
-462.5579	0.01165231	5.955281	0.007588	0	0.0071516	0
-456.043	0.01026303	5.998413	0.0061766	0	0.0057803	0
-449.5281	0.008817594	6.052617	0.004873	0	0.004497	0
-443.0132	0.007370793	6.122187	0.0037412	0	0.0034372	0
-436.4983	0.005975448	6.211597	0.0028572	0	0.0026643	0
-429.9834	0.004689108	6.328131	0.0023013	0	0.002208	0
-423.4685	0.003586502	6.485571	0.0021479	0	0.0021815	0
-416.9536	0.002749766	6.702268	0.0024757	0	0.0026999	0
-410.4387	0.002251859	6.989978	0.0033638	0	0.0037652	0
-403.9238	0.002164616	7.331274	0.0048643	0	0.0054173	0
-397.4089	0.002571185	7.666859	0.007005	0	0.0077888	0
-390.894	0.003548084	7.940701	0.0098181	0	0.010817	0
-384.3791	0.005142849	8.143375	0.013324	0	0.014497	0
-377.8642	0.007385377	8.291073	0.017489	0	0.018883	0
-371.3493	0.01030407	8.399904	0.02225	0	0.023742	0
-364.8344	0.0139074	8.481472	0.027557	0	0.029225	0
-358.3195	0.0181633	8.54445	0.033344	0	0.035244	0
-351.8046	0.0230159	8.594343	0.039474	0	0.04126	0
-345.2897	0.02840457	8.633752	0.045771	0	0.047706	0
-338.7748	0.03424413	8.664334	0.052093	0	0.054199	0
-332.2599	0.04040296	8.687926	0.058287	0	0.059849	0
-325.745	0.04672242	8.70576	0.064127	0	0.065638	0
-319.2301	0.05304206	8.718003	0.069376	0	0.071123	0
-312.7152	0.05918527	8.724709	0.073878	0	0.075121	0
-306.2003	0.06494236	8.726447	0.077506	0	0.078341	0
-299.6854	0.07010122	8.723602	0.080096	0	0.080348	0
-293.1705	0.07448766	8.715866	0.081525	0	0.08152	0
-286.6556	0.07795606	8.702899	0.081808	0	0.082298	0
-280.1407	0.08036938	8.684843	0.081032	0	0.080707	0
-273.6258	0.08163635	8.661742	0.079271	0	0.078034	0
-267.1109	0.08176061	8.633039	0.076656	0	0.075701	0
-260.596	0.08081798	8.598126	0.073457	0	0.072481	0
-254.0811	0.07891174	8.55681	0.069988	0	0.06923	0
-247.5662	0.07620147	8.508789	0.066506	0	0.065612	0
-241.0513	0.07294553	8.453169	0.063281	0	0.061875	0
-234.5364	0.06944773	8.388982	0.060667	0	0.060101	0
-228.0215	0.06598373	8.315687	0.059024	0	0.058976	0
-221.5066	0.06283469	8.23275	0.058643	0	0.058697	0
-214.9917	0.06034531	8.139427	0.059832	0	0.060709	0
-208.4768	0.05887035	8.035534	0.062996	0	0.064336	0
-201.9619	0.05870802	7.922028	0.068581	0	0.070758	0
-195.447	0.0601682	7.80071	0.077002	0	0.080165	0
-188.9321	0.0636626	7.67406	0.088711	0	0.092701	0
-182.4172	0.06964861	7.545252	0.10422	-1.5053	0.11	1.2124
-175.9023	0.07854334	7.417434	0.12401	-1.6201	0.13104	1.1005
-169.3874	0.0907842	7.292961	0.14843	-1.7293	0.15643	0.99128
-162.8725	0.1068972	7.173372	0.17767	-1.8336	0.18749	0.8889
-156.3576	0.1273742	7.059412	0.21178	-1.9332	0.22297	0.79182
-149.8427	0.1525186	6.950952	0.25053	-2.0284	0.26302	0.69711
-143.3278	0.1824772	6.847454	0.29342	-2.1199	0.30712	0.60635
-136.8129	0.2172844	6.748523	0.3397	-2.208	0.35416	0.51927
-130.298	0.2567188	6.653815	0.38838	-2.2925	0.40337	0.43619
-123.7831	0.300193	6.562856	0.43828	-2.3731	0.45314	0.35678
-117.2682	0.3468707	6.475345	0.48821	-2.4499	0.50303	0.28101
-110.7533	0.3957807	6.39141	0.5371	-2.5224	0.55164	0.2101
-104.2384	0.4457873	6.311316	0.58391	-2.5902	0.59744	0.14375
-97.7235	0.4956528	6.23521	0.62786	-2.6529	0.64038	0.082526
-91.2086	0.5442402	6.163348	0.66864	-2.7101	0.68014	0.027049
-84.6937	0.5906282	6.096246	0.70635	-2.7616	0.71705	-0.02268
-78.1788	0.6341456	6.034402	0.74125	-2.8073	0.75129	-0.066375
-71.6639	0.6744747	5.978061	0.77378	-2.847	0.78307	-0.10446
-65.149	0.7116967	5.927389	0.80471	-2.8811	0.8138	-0.13707
-58.6341	0.7461743	5.882603	0.83474	-2.9098	0.84369	-0.16411
-52.1192	0.7784576	5.843748	0.86409	-2.9336	0.87253	-0.18639
-45.6043	0.8092346	5.810536	0.89257	-2.9528	0.90076	-0.20437
-39.0894	0.8391129	5.782555	0.91982	-2.9677	0.92777	-0.2181
-32.5745	0.8683309	5.759479	0.94506	-2.9787	0.95208	-0.22784
-26.0596	0.8967082	5.740978	0.96695	-2.9857	0.97251	-0.23359
-19.5447	0.9237338	5.726649	0.98404	-2.9884	0.98791	-0.23501
-13.0298	0.9485104	5.716254	0.99528	-2.9866	0.99729	-0.23181
-6.5149	0.96974	5.709885	1	-2.98	1	-0.22354
0	0.9860449	5.707816	0.99775	-2.968	0.99554	-0.2098
6.5149	0.9963574	5.710321	0.98864	-2.9503	0.98444	-0.19043
13.0298	1	5.717753	0.97352	-2.9268	0.96791	-0.16519
19.5447	0.9966739	5.730584	0.95354	-2.8976	0.94661	-0.13426
26.0596	0.9866344	5.749178	0.92964	-2.863	0.92157	-0.098223
32.5745	0.9707335	5.773574	0.90263	-2.8237	0.89387	-0.057636
39.0894	0.95007	5.803567	0.87327	-2.7803	0.86401	-0.013193
45.6043	0.9256368	5.838841	0.84203	-2.7337	0.83217	0.03425
52.1192	0.8982741	5.878864	0.80885	-2.6847	0.79829	0.083895
58.6341	0.8686467	5.922811	0.77357	-2.6338	0.76244	0.13508
65.149	0.8370811	5.969792	0.73626	-2.5817	0.72466	0.18748
71.6639	0.8035695	6.019115	0.69708	-2.5289	0.68471	0.24059
78.1788	0.7680221	6.070205	0.65616	-2.4756	0.64334	0.29387
84.6937	0.7304469	6.122449	0.61382	-2.4221	0.60093	0.34745
91.2086	0.6909526	6.175346	0.57064	-2.3686	0.55751	0.40082
97.7235	0.6497739	6.228662	0.52719	-2.3156	0.51397	0.45358
104.2384	0.6073174	6.28222	0.4839	-2.2633	0.47077	0.50574
110.7533	0.5640931	6.335656	0.44115	-2.2118	0.42841	0.55684
117.2682	0.5206091	6.38858	0.39939	-2.1615	0.38718	0.60683
123.7831	0.4773513	6.440794	0.35896	-2.1129	0.34693	0.65503
130.298	0.4347659	6.492121	0.32009	-2.0659	0.30862	0.70107
136.8129	0.3932071	6.542178	0.28302	-2.0206	0.27232	0.74621
143.3278	0.352963	6.590601	0.24803	-1.9771	0.2377	0.78921
149.8427	0.3143306	6.637327	0.21533	-1.9358	0.20581	0.82954
156.3576	0.2775923	6.682366	0.18509	-1.8964	0.17654	0.8685
162.8725	0.2429561	6.725513	0.15741	-1.8588	0.14966	0.90515
169.3874	0.2105979	6.766566	0.13238	-1.8233	0.12545	0.9402
175.9023	0.1807147	6.805642	0.11004	-1.79	0.10369	0.97366
182.4172	0.1534562	6.842897	0.090323	0	0.08482	0
188.9321	0.1288576	6.878149	0.073132	0	0.06852	0
195.447	0.1068981	6.911139	0.058341	0	0.054173	0
201.9619	0.08755566	6.941969	0.04578	0	0.042293	0
208.4768	0.0707523	6.970773	0.035252	0	0.032442	0
214.9917	0.05631906	6.997204	0.026557	0	0.024288	0
221.5066	0.04406357	7.020782	0.019497	0	0.017849	0
228.0215	0.03381666	7.041542	0.013869	0	0.012515	0
234.5364	0.02539142	7.059644	0.009476	0	0.0083691	0
241.0513	0.01856476	7.074551	0.0061405	0	0.0052939	0
247.5662	0.01312662	7.085485	0.0037082	0	0.0028782	0
254.0811	0.008902597	7.092542	0.00201	0	0.0015192	0
260.596	0.005722128	7.096188	0.00089237	0	0.00076606	0
267.1109	0.003409413	7.095516	0.00027529	0	0.00025601	0
273.6258	0.001809268	7.088353	4.89E-05	0	6.82E-05	0
280.1407	0.000790961	7.072919	3.44E-05	0	9.06E-05	0
286.6556	0.00023089	7.043078	0.00020339	0	0.00019496	0
